mmi_width (um),mmi_length (um),S31,S41
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.0,0.5078974558494338,0.43652695539108277
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,5.5,0.5113719576870686,0.5273269814552785
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
2.0,6.0,0.543815954439346,0.613542604586961
