mmi_width (um),mmi_length (um),S31,S41
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.5,0.5812786978471665,0.6054210579310589
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.6,0.588877181548535,0.6160417575369493
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.699999999999999,0.5864607694794993,0.6172388493278314
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.799999999999999,0.5532251429534271,0.6362119131785176
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.899999999999999,0.5273669280859281,0.602433176456539
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,7.999999999999998,0.5289131241418916,0.6018867957757407
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.099999999999998,0.5110895660969773,0.589398720028028
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.199999999999998,0.4811273050044252,0.6069846243655314
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.299999999999997,0.4374173389192538,0.5769768145186819
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.15,8.399999999999997,0.43804422329517956,0.5709845448357018
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.5,0.5875592223863689,0.6028312951976337
2.1599999999999997,7.6,0.5962803279132328,0.6143982270695625
2.1599999999999997,7.6,0.5962803279132328,0.6143982270695625
2.1599999999999997,7.6,0.5962803279132328,0.6143982270695625
2.1599999999999997,7.6,0.5962803279132328,0.6143982270695625
2.1599999999999997,7.6,0.5962803279132328,0.6143982270695625
2.1599999999999997,7.6,0.5962803279132328,0.6143982270695625
2.1599999999999997,7.6,0.5962803279132328,0.6143982270695625
2.1599999999999997,7.6,0.5962803279132328,0.6143982270695625
