mmi_width (um),mmi_length (um),S31,S41
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,17.0,0.4033785543028489,0.4692062294880852
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,18.0,0.2637324777892624,0.5564778822798722
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,19.0,0.2796867157664598,0.48005867680673886
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,20.0,0.21681957908950608,0.4947522993116974
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,21.0,0.2603268730679077,0.4385870716825458
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.0,22.0,0.2519018275980044,0.39222860045514263
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,17.0,0.5503191490165813,0.15125182115450847
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,18.0,0.5423965943108933,0.20586214481062495
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.1,19.0,0.5046143224941083,0.25282651203759593
2.55,25.0,0.08972531693871813,0.11096682584112429
2.55,25.0,0.08972531693871813,0.11096682584112429
2.55,25.0,0.08972531693871813,0.11096682584112429
2.55,25.0,0.08972531693871813,0.11096682584112429
2.55,25.0,0.08972531693871813,0.11096682584112429
2.55,25.0,0.08972531693871813,0.11096682584112429
