mmi_length (um),S31,S41
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.0,0.3083048181268444,0.7951454426067291
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.05,0.33198522966197674,0.7759550164389043
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1,0.38457000646249606,0.7259370804531247
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.1499999999999995,0.4371094694541041,0.6436668047853922
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.2,0.46977932910386905,0.5985342979488522
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.25,0.48700065319160296,0.6004990927954666
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.3,0.5180504612921207,0.5838532393082823
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
5.35,0.5677500545665818,0.5288167602909606
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8,0.7630044745387696,0.565503784308402
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8499999999999996,0.7554518325116008,0.5928900113175964
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.8999999999999995,0.7364188201418096,0.6194055521633479
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
2.9499999999999993,0.7211129128448809,0.6213740754884375
